dataset,split,method,run_id,num_scenarios,fault_accuracy,fault_macro_f1,root_top1_accuracy,fault_start_time_coverage,fault_start_time_mae_at_correct_fault,evidence_coverage,evidence_correctness,hallucination_rate,seed,git_commit
Manual v0.3,seed42,Rule-only,manual_v0_3_seed42_rule,72,0.9027777777777778,0.9066343661014068,0.9027777777777778,1.0,0.0,1.0,1.0,0.0,42,e6fe4b87c56b435dd0f3f466f54fa9b666c5f309
Manual v0.3,seed42,Multi-Agent w/o temporal causal ranking,manual_v0_3_seed42_no_temporal,72,0.9027777777777778,0.9066343661014068,0.9027777777777778,1.0,0.0,1.0,1.0,0.0,42,e6fe4b87c56b435dd0f3f466f54fa9b666c5f309
Manual v0.3,seed42,Multi-Agent + Tools,manual_v0_3_seed42_full,72,1,1.0,1,1.0,0.0,1.0,1.0,0.0,42,e6fe4b87c56b435dd0f3f466f54fa9b666c5f309
Manual v0.3,seed42,Single-LLM DeepSeek V4 Pro,manual_v0_3_single_llm_deepseek_v4_pro_seed42,72,0.9861111111111112,0.9860869565217392,0.9861111111111112,0.8166666666666667,0.3333333333333333,0.9953703703703703,0.6250110229276896,0.12708333333333333,42,0c7e220c077b218305936b95df5f3be04b1349e5
CARLA v0.2-riskfix,held-out test,Rule-only,final_carla_fault_riskfix_test_rule_seed42,10,0.8,0.8055555555555556,0.8,1.0,1.1324882542851355e-08,1.0,1.0,0.0,42,e6fe4b87c56b435dd0f3f466f54fa9b666c5f309
CARLA v0.2-riskfix,held-out test,Multi-Agent w/o temporal causal ranking,final_carla_fault_riskfix_test_no_temporal_seed42,10,0.8,0.8055555555555556,0.8,1.0,1.1324882542851355e-08,1.0,1.0,0.0,42,e6fe4b87c56b435dd0f3f466f54fa9b666c5f309
CARLA v0.2-riskfix,held-out test,Multi-Agent + Tools,final_carla_fault_riskfix_test_full_seed42,10,1,1.0,1,1.0,1.0005065395216458e-08,1.0,1.0,0.0,42,e6fe4b87c56b435dd0f3f466f54fa9b666c5f309
CARLA closed-loop v0.1,all 5 parents,Rule-only,final_carla_closed_rule_seed42,15,0.6666666666666666,0.5555555555555556,0.6666666666666666,1.0,1.519918439996104e-08,1.0,1.0,0.0,42,e6fe4b87c56b435dd0f3f466f54fa9b666c5f309
CARLA closed-loop v0.1,all 5 parents,Multi-Agent w/o temporal causal ranking,final_carla_closed_no_temporal_seed42,15,0.6666666666666666,0.5555555555555556,0.6666666666666666,1.0,1.519918439996104e-08,1.0,1.0,0.0,42,e6fe4b87c56b435dd0f3f466f54fa9b666c5f309
CARLA closed-loop v0.1,all 5 parents,Multi-Agent + Tools,final_carla_closed_full_seed42,15,1,1.0,1,1.0,1.2069940569237048e-08,1.0,1.0,0.0,42,e6fe4b87c56b435dd0f3f466f54fa9b666c5f309
CARLA extreme weather v0.1,night-storm held-out,Rule-only,final_carla_weather_test_rule_seed42,4,0.5,0.375,0.5,1.0,1.4901161193847656e-08,1.0,1.0,0.0,42,e6fe4b87c56b435dd0f3f466f54fa9b666c5f309
CARLA extreme weather v0.1,night-storm held-out,Multi-Agent w/o temporal causal ranking,final_carla_weather_test_no_temporal_seed42,4,0.5,0.375,0.5,1.0,1.4901161193847656e-08,1.0,1.0,0.0,42,e6fe4b87c56b435dd0f3f466f54fa9b666c5f309
CARLA extreme weather v0.1,night-storm held-out,Multi-Agent + Tools,final_carla_weather_test_full_seed42,4,1,1.0,1,1.0,1.0927518223624588e-08,1.0,1.0,0.0,42,e6fe4b87c56b435dd0f3f466f54fa9b666c5f309
nuPlan perturbation v0.1,5 paired parents,Rule-only,final_nuplan_rule_seed42,10,1,1.0,1,1.0,0.0,1.0,1.0,0.0,42,e6fe4b87c56b435dd0f3f466f54fa9b666c5f309
nuPlan perturbation v0.1,5 paired parents,Multi-Agent w/o temporal causal ranking,final_nuplan_no_temporal_seed42,10,1,1.0,1,1.0,0.0,1.0,1.0,0.0,42,e6fe4b87c56b435dd0f3f466f54fa9b666c5f309
nuPlan perturbation v0.1,5 paired parents,Multi-Agent + Tools,final_nuplan_full_seed42,10,1,1.0,1,1.0,0.0,1.0,1.0,0.0,42,e6fe4b87c56b435dd0f3f466f54fa9b666c5f309
