seed,method,run_id,num_scenarios,fault_accuracy,fault_macro_f1,root_top1_accuracy,fault_start_time_coverage,fault_start_time_mae_at_correct_fault,evidence_coverage,evidence_correctness,hallucination_rate,git_commit
7,Rule-only,manual_v0_3_seed7_rule,72,0.8611111111111112,0.8700280112044818,0.8611111111111112,1.0,0.0,1.0,1.0,0.0,e6fe4b87c56b435dd0f3f466f54fa9b666c5f309
7,Multi-Agent w/o temporal causal ranking,manual_v0_3_seed7_no_temporal,72,0.8611111111111112,0.8700280112044818,0.8611111111111112,1.0,0.0,1.0,1.0,0.0,e6fe4b87c56b435dd0f3f466f54fa9b666c5f309
7,Multi-Agent + Tools,manual_v0_3_seed7_full,72,1,1.0,1,1.0,0.0,1.0,1.0,0.0,e6fe4b87c56b435dd0f3f466f54fa9b666c5f309
42,Rule-only,manual_v0_3_seed42_rule,72,0.9027777777777778,0.9066343661014068,0.9027777777777778,1.0,0.0,1.0,1.0,0.0,e6fe4b87c56b435dd0f3f466f54fa9b666c5f309
42,Multi-Agent w/o temporal causal ranking,manual_v0_3_seed42_no_temporal,72,0.9027777777777778,0.9066343661014068,0.9027777777777778,1.0,0.0,1.0,1.0,0.0,e6fe4b87c56b435dd0f3f466f54fa9b666c5f309
42,Multi-Agent + Tools,manual_v0_3_seed42_full,72,1,1.0,1,1.0,0.0,1.0,1.0,0.0,e6fe4b87c56b435dd0f3f466f54fa9b666c5f309
2026,Rule-only,manual_v0_3_seed2026_rule,72,0.8472222222222222,0.8571428571428571,0.8472222222222222,1.0,0.0,1.0,1.0,0.0,e6fe4b87c56b435dd0f3f466f54fa9b666c5f309
2026,Multi-Agent w/o temporal causal ranking,manual_v0_3_seed2026_no_temporal,72,0.8472222222222222,0.8571428571428571,0.8472222222222222,1.0,0.0,1.0,1.0,0.0,e6fe4b87c56b435dd0f3f466f54fa9b666c5f309
2026,Multi-Agent + Tools,manual_v0_3_seed2026_full,72,1,1.0,1,1.0,0.0,1.0,1.0,0.0,e6fe4b87c56b435dd0f3f466f54fa9b666c5f309
3407,Rule-only,manual_v0_3_seed3407_rule,72,0.8472222222222222,0.8514837819185646,0.8472222222222222,1.0,0.0,1.0,1.0,0.0,e6fe4b87c56b435dd0f3f466f54fa9b666c5f309
3407,Multi-Agent w/o temporal causal ranking,manual_v0_3_seed3407_no_temporal,72,0.8472222222222222,0.8514837819185646,0.8472222222222222,1.0,0.0,1.0,1.0,0.0,e6fe4b87c56b435dd0f3f466f54fa9b666c5f309
3407,Multi-Agent + Tools,manual_v0_3_seed3407_full,72,1,1.0,1,1.0,0.008333333333333333,1.0,1.0,0.0,e6fe4b87c56b435dd0f3f466f54fa9b666c5f309
9012,Rule-only,manual_v0_3_seed9012_rule,72,0.8611111111111112,0.8681597040730167,0.8611111111111112,1.0,0.0,1.0,1.0,0.0,e6fe4b87c56b435dd0f3f466f54fa9b666c5f309
9012,Multi-Agent w/o temporal causal ranking,manual_v0_3_seed9012_no_temporal,72,0.8611111111111112,0.8681597040730167,0.8611111111111112,1.0,0.0,1.0,1.0,0.0,e6fe4b87c56b435dd0f3f466f54fa9b666c5f309
9012,Multi-Agent + Tools,manual_v0_3_seed9012_full,72,1,1.0,1,1.0,0.0,1.0,1.0,0.0,e6fe4b87c56b435dd0f3f466f54fa9b666c5f309
